feature,train_score,test_score
TransactionAmt,0.7301,0.6625
ProductCD,0.6636,0.6187
card1,0.7156,0.6007
card2,0.7308,0.639
card3,0.6468,0.6499
card4,0.5295,0.48
card5,0.6429,0.6052
card6,0.5744,0.6187
addr1,0.7104,0.6297
addr2,0.6451,0.6504
dist1,0.5787,0.6076
dist2,0.5665,0.5606
P_emaildomain,0.6374,0.547
R_emaildomain,0.6589,0.6546
C1,0.685,0.6116
C2,0.6916,0.6176
C3,0.5043,0.5068
C4,0.6447,0.734
C5,0.6081,0.6607
C6,0.6483,0.5679
C7,0.6498,0.6558
C8,0.6551,0.5595
C9,0.5858,0.7385
C10,0.6509,0.5298
C11,0.6723,0.6151
C12,0.6512,0.686
C13,0.696,0.642
C14,0.663,0.6214
D1,0.6365,0.5747
D2,0.6348,0.5865
D3,0.6415,0.6336
D4,0.6632,0.5105
D5,0.6637,0.6418
D10,0.6865,0.5502
D11,0.5819,0.6756
D15,0.6819,0.5146
M1,0.5484,0.6947
M2,0.5587,0.6772
M3,0.5589,0.639
M4,0.7044,0.6621
M5,0.5584,0.4831
M6,0.58,0.7093
M7,0.5376,0.6655
M8,0.5379,0.67
M9,0.5376,0.6868
V1,0.5466,0.6947
V3,0.5571,0.6493
V4,0.5535,0.6871
V6,0.5467,0.692
V8,0.5468,0.6906
V11,0.5549,0.7349
V13,0.5726,0.6535
V14,0.5304,0.4331
V17,0.5861,0.5774
V20,0.5476,0.4895
V23,0.5543,0.4689
V26,0.5447,0.4555
V27,0.5309,0.4336
V30,0.6536,0.6329
V36,0.5847,0.5933
V37,0.5882,0.5107
V40,0.6126,0.6086
V41,0.5584,0.4913
V44,0.5998,0.5457
V47,0.5865,0.5019
V48,0.6537,0.6634
V54,0.5767,0.5427
V56,0.5656,0.4402
V59,0.5933,0.5565
V62,0.5687,0.509
V65,0.5349,0.4222
V67,0.5652,0.4572
V68,0.5352,0.4224
V70,0.6582,0.6294
V76,0.5836,0.5434
V78,0.5826,0.4932
V80,0.6068,0.5757
V82,0.5666,0.5278
V86,0.5852,0.5119
V88,0.5432,0.4325
V89,0.5435,0.433
V91,0.6636,0.6405
V107,0.5,0.5
V108,0.5184,0.5077
V111,0.5209,0.5292
V115,0.5191,0.5151
V117,0.5049,0.4996
V120,0.5054,0.4989
V121,0.505,0.4973
V123,0.5407,0.5307
V124,0.5394,0.5092
V127,0.5968,0.5279
V129,0.5351,0.518
V130,0.5868,0.5589
V136,0.536,0.4957
V138,0.5764,0.4369
V139,0.6066,0.5226
V142,0.5833,0.4359
V147,0.6093,0.5289
V156,0.6258,0.5034
V160,0.5949,0.4357
V162,0.5864,0.4381
V165,0.6126,0.4702
V166,0.5999,0.5301
V169,0.5607,0.6544
V171,0.6176,0.6543
V173,0.557,0.7126
V175,0.561,0.7021
V176,0.5874,0.7266
V178,0.5971,0.502
V180,0.5708,0.7177
V182,0.5702,0.7259
V185,0.5681,0.7183
V187,0.5922,0.7248
V188,0.5884,0.7226
V198,0.573,0.7071
V203,0.6268,0.6337
V205,0.5713,0.7067
V207,0.5745,0.7152
V209,0.5755,0.6903
V210,0.5764,0.6481
V215,0.5725,0.7288
V218,0.6451,0.6316
V220,0.553,0.7045
V221,0.6377,0.5815
V223,0.5467,0.7128
V224,0.5511,0.7041
V226,0.5442,0.7181
V228,0.5968,0.5474
V229,0.6239,0.547
V234,0.5725,0.7251
V235,0.5526,0.7114
V238,0.5605,0.7188
V240,0.5429,0.7155
V250,0.568,0.7026
V252,0.5592,0.7229
V253,0.5639,0.7222
V257,0.614,0.6116
V258,0.6306,0.6078
V260,0.5552,0.7189
V261,0.5634,0.7161
V264,0.65,0.6345
V266,0.5591,0.7166
V267,0.5632,0.7193
V271,0.5681,0.7141
V274,0.6206,0.4764
V277,0.5598,0.7287
V281,0.5388,0.5181
V283,0.6159,0.629
V284,0.531,0.5173
V285,0.534,0.468
V286,0.5019,0.4938
V289,0.5513,0.4856
V291,0.5801,0.5388
V294,0.6249,0.5892
V296,0.5352,0.5028
V297,0.5072,0.5136
V301,0.515,0.5212
V303,0.5761,0.716
V305,0.5,0.5
V307,0.6217,0.5273
V309,0.5459,0.5191
V310,0.6084,0.4859
V314,0.5796,0.5145
V320,0.5501,0.503
id_01,0.5949,0.7262
id_02,0.5998,0.7116
id_03,0.5783,0.6612
id_04,0.5782,0.662
id_05,0.584,0.7224
id_06,0.5896,0.7191
id_07,0.51,0.5013
id_08,0.5109,0.4998
id_09,0.5818,0.6797
id_10,0.5826,0.6777
id_11,0.5797,0.6998
id_12,0.5645,0.7181
id_13,0.5935,0.7088
id_14,0.5731,0.4516
id_15,0.593,0.6323
id_16,0.5843,0.6197
id_17,0.6507,0.5873
id_18,0.536,0.5052
id_19,0.7079,0.5862
id_20,0.689,0.6672
id_21,0.5097,0.5006
id_22,0.5041,0.5021
id_23,0.5025,0.4987
id_24,0.5029,0.4994
id_25,0.5093,0.5006
id_26,0.511,0.5017
id_27,0.5013,0.4975
id_28,0.5824,0.7195
id_29,0.584,0.7197
id_30,0.5959,0.4591
id_31,0.6339,0.5148
id_32,0.5719,0.453
id_33,0.5881,0.4851
id_34,0.5674,0.4487
id_35,0.6449,0.6064
id_36,0.5719,0.7097
id_37,0.5691,0.7095
id_38,0.6037,0.3453
DeviceType,0.5815,0.7144
DeviceInfo,0.6,0.5861
cents,0.6912,0.7228
addr1_FE,0.7092,0.6248
card1_FE,0.7088,0.6005
card2_FE,0.7303,0.6522
card3_FE,0.6471,0.6499
P_emaildomain_FE,0.6374,0.5487
R_emaildomain_FE,0.6593,0.6546
card1_addr1,0.7161,0.607
card1_addr1_P_emaildomain,0.7152,0.6181
card1_addr1_FE,0.7013,0.5704
card1_addr1_P_emaildomain_FE,0.6708,0.5406
TransactionAmt_card1_mean,0.7506,0.6961
TransactionAmt_card1_std,0.747,0.6771
TransactionAmt_card1_addr1_mean,0.7342,0.6511
TransactionAmt_card1_addr1_std,0.7268,0.6685
TransactionAmt_card1_addr1_P_emaildomain_mean,0.7163,0.6282
TransactionAmt_card1_addr1_P_emaildomain_std,0.6976,0.6177
D9_card1_mean,0.724,0.6601
D9_card1_std,0.7351,0.6416
D9_card1_addr1_mean,0.7035,0.6645
D9_card1_addr1_std,0.698,0.6415
D9_card1_addr1_P_emaildomain_mean,0.686,0.6875
D9_card1_addr1_P_emaildomain_std,0.6698,0.595
D11_card1_mean,0.7351,0.6762
D11_card1_std,0.7314,0.7043
D11_card1_addr1_mean,0.731,0.6757
D11_card1_addr1_std,0.7277,0.6601
D11_card1_addr1_P_emaildomain_mean,0.7013,0.6562
D11_card1_addr1_P_emaildomain_std,0.6844,0.6447
Weekdays,0.5242,0.5
Hours,0.5682,0.5473
Days,0.5848,0.5
Month,0.5,0.5
